/home/rth/jgmandjes/.conda/envs/voxelmorph/lib/python3.10/site-packages/torch/functional.py:539: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at /pytorch/aten/src/ATen/native/TensorShape.cpp:3637.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Epoch 232/1500 - 0.3155 sec/step - loss: 1.0527e-02  (8.8354e-03, 1.6917e-03)
Epoch 233/1500 - 0.3154 sec/step - loss: 1.0534e-02  (8.8165e-03, 1.7171e-03)
Epoch 234/1500 - 0.3152 sec/step - loss: 1.0664e-02  (8.8884e-03, 1.7760e-03)
Epoch 235/1500 - 0.3152 sec/step - loss: 1.0911e-02  (9.1200e-03, 1.7912e-03)
Epoch 236/1500 - 0.3153 sec/step - loss: 1.0221e-02  (8.5485e-03, 1.6724e-03)
Epoch 237/1500 - 0.3155 sec/step - loss: 1.0167e-02  (8.4814e-03, 1.6858e-03)
Epoch 238/1500 - 0.3154 sec/step - loss: 1.1386e-02  (9.5219e-03, 1.8641e-03)
Epoch 239/1500 - 0.3156 sec/step - loss: 1.0064e-02  (8.3181e-03, 1.7457e-03)
Epoch 240/1500 - 0.3156 sec/step - loss: 1.0933e-02  (9.1638e-03, 1.7692e-03)
Epoch 241/1500 - 0.3142 sec/step - loss: 9.9948e-03  (8.3498e-03, 1.6451e-03)
Epoch 242/1500 - 0.3157 sec/step - loss: 1.0019e-02  (8.2560e-03, 1.7626e-03)
Epoch 243/1500 - 0.3157 sec/step - loss: 9.9496e-03  (8.2670e-03, 1.6826e-03)
Epoch 244/1500 - 0.3157 sec/step - loss: 9.6380e-03  (7.9469e-03, 1.6912e-03)
Epoch 245/1500 - 0.3158 sec/step - loss: 1.0428e-02  (8.6892e-03, 1.7392e-03)
Epoch 246/1500 - 0.3162 sec/step - loss: 9.7208e-03  (8.0680e-03, 1.6529e-03)
Epoch 247/1500 - 0.3163 sec/step - loss: 1.0341e-02  (8.6023e-03, 1.7385e-03)
Epoch 248/1500 - 0.3167 sec/step - loss: 1.0827e-02  (9.0173e-03, 1.8093e-03)
Epoch 249/1500 - 0.3181 sec/step - loss: 1.0549e-02  (8.8045e-03, 1.7447e-03)
Epoch 250/1500 - 0.3180 sec/step - loss: 1.0962e-02  (9.1412e-03, 1.8209e-03)
Epoch 251/1500 - 0.3167 sec/step - loss: 1.0286e-02  (8.5687e-03, 1.7173e-03)
